image_bytes,output,flag,username,timestamp
flagged\image_bytes\9c2cc3e26aff0c477813\maxresdefault.jpg,,,,2024-04-12 11:38:15.971552
flagged\img\b12256f62e7c3f777a3c\195_5.png,[[b'MANILA']],,,2024-04-12 11:57:12.291930
flagged\img\a8ef1c17beb15097966d\195_5.png,[[b'MANILA']],,,2024-04-12 11:57:15.696218
flagged\img\5252bd05881f04b02ad8\2cf51ae14cf2366c13f1c92c0d12cbc4.jpg,flagged\output 0\1a0ab81b00c55bdbcf46\image.png,"['""If you want to be loved,', 'Start loving others', 'who need your love']",,,2024-04-13 11:49:14.496658
flagged\img\24d0718524a3f1a7c4b0\6f3ae91353b22729d8655c5be1fc43ad.jpg,flagged\output 0\b9cdf1fcb9ecb3ef60b1\image.png,"['Move OM', ""You can't force yourself to"", 'stop liking someone.', 'But you can tell yourself that', 'you deserve better.', 'So try to move on..!']",,,2024-04-14 22:47:04.493209
flagged\inputs\64164fc8c2191dc1c8ac\hqdefault.jpg,flagged\output 0\f5f340b6fe034273a171\image.png,"['LiNGUANAUT', ""I'm learning Spanish right now,"", ""because I think it's a beautiful"", 'language, and also because I', ""want to visit Spain one day. I'm"", 'improving day after day, but I', 'need to practice with someone', 'who is a native.', 'www.LinguaNaut.com']","{""type"": ""plotly"", ""plot"": ""{\""text\"":{\""0\"":\""LiNGUANAUT\"",\""1\"":\""I'm learning Spanish right now,\"",\""2\"":\""because I think it's a beautiful\"",\""3\"":\""language, and also because I\"",\""4\"":\""want to visit Spain one day. I'm\"",\""5\"":\""improving day after day, but I\"",\""6\"":\""need to practice with someone\"",\""7\"":\""who is a native.\"",\""8\"":\""www.LinguaNaut.com\""},\""score\"":{\""0\"":0.9693934321,\""1\"":0.9954733849,\""2\"":0.9439412355,\""3\"":0.9490578771,\""4\"":0.9815779328,\""5\"":0.9750808477,\""6\"":0.9620579481,\""7\"":0.9927412868,\""8\"":0.9878106117}}""}",,,2024-05-02 13:52:52.106482
